Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:2dKkVF2m160z0RNDN2dddc,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,4,So good and definitely makes me speed. I want to turn some corners a little too hard with this on,cac0a97113f342e387a36a7edf756fa1
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,1,Good. Definitely not my top choice to speed to but would be on the playlist for sure ,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,2,Good but there’s definitely Charlie fatigue in this playlist. This one makes me want to speed the most though ,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,2,Hadn’t heard it before but very good choice dad,cac0a97113f342e387a36a7edf756fa1
spotify:track:4MpketOLD5KhtgWWOBuk9w,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,2,A great choice. Very fun song and makes me at least want to cruise at 90 on I-5 near the Central Valley ,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,1,Good but I always felt like this song could be better by just staying hard without the pre chorus. I feel like I’d slow down during that part,cac0a97113f342e387a36a7edf756fa1
spotify:track:5pWHXtj4OyOLVoQZHpuXBK,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,2,Sounds like what I’d listen to as I escape a scene. Love a screaming woman telling me cops like bacon ,cac0a97113f342e387a36a7edf756fa1
spotify:track:5tFzUj1jV09bo4wBQWSbDl,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,2,Love the offspring!! Again I feel like this is the escape the scene rn song ,cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,1,Good but I feel like me escaping the cops or breaking the speed limit would be less whimsical. And crashing is a bad omen lol,cac0a97113f342e387a36a7edf756fa1
spotify:track:6sD2mCUjmi0S3PTKxdW1Lc,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,1,Not my favorite but I like the guitar ,cac0a97113f342e387a36a7edf756fa1
spotify:track:6WpZwkzyjINc6wDghg8Gzv,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,-3,I just have never loved this song ,cac0a97113f342e387a36a7edf756fa1
spotify:track:7GRv55NwkjxU2ysJLwzC9c,78e7775bd32b4b4ebaf5be442a27e180,2026-01-19T04:20:19Z,1,Didn’t hear this one  before tbh but I was hoping for more from charl. Still a fun song but idk not my favorite ,cac0a97113f342e387a36a7edf756fa1
spotify:track:0fJHz1wceiNJFs6jEWIvlJ,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,-1," ",cac0a97113f342e387a36a7edf756fa1
spotify:track:0mwbc2AqVHIziVGg3syEI9,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:10wJ35whDsMVQ04fhkR5QS,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:14WaaiKH1dCUkXhwr4l0DG,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:1Q9b6CeMcDuO0uq5OJCrqu,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:2dKkVF2m160z0RNDN2dddc,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:2LHNTC9QZxsL3nWpt8iaSR,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,-1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:3Y1EvIgEVw51XtgNEgpz5c,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:4gVTozEmzwAUXpwj3jEetX,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,5,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5hyq3LBlCfjRQAFkdQwe8o,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,2,,cac0a97113f342e387a36a7edf756fa1
spotify:track:5tFzUj1jV09bo4wBQWSbDl,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,5,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6HZ9VeI5IRFCNQLXhpF4bq,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,1,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6sD2mCUjmi0S3PTKxdW1Lc,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,3,,cac0a97113f342e387a36a7edf756fa1
spotify:track:6WpZwkzyjINc6wDghg8Gzv,9e8addf0669a4baba36580a51ab3ec3f,2026-01-19T20:33:59Z,2,,cac0a97113f342e387a36a7edf756fa1
